embedding,embedding_size,regressor,hyperparams,accuracy_mean,accuracy_min,accuracy_max,accuracy_std,tpr_mean,tpr_min,tpr_max,tpr_std,tnr_mean,tnr_min,tnr_max,tnr_std,precision_mean,precision_min,precision_max,precision_std,recall_mean,recall_min,recall_max,recall_std,g_mean_mean,g_mean_min,g_mean_max,g_mean_std,tn_mean,tn_min,tn_max,tn_std,fp_mean,fp_min,fp_max,fp_std,fn_mean,fn_min,fn_max,fn_std,tp_mean,tp_min,tp_max,tp_std
lml12,384,svm,kernel-linear,0.9763,0.9763,0.9763,,0.9796,0.9796,0.9796,,0.9730,0.9730,0.9730,,0.9732,0.9732,0.9732,,0.9796,0.9796,0.9796,,0.9763,0.9763,0.9763,,4865.0000,4865,4865,,135.0000,135,135,,102.0000,102,102,,4898.0000,4898,4898,
lml12,384,svm,kernel-poly,0.9876,0.9876,0.9876,,0.9902,0.9902,0.9902,,0.9850,0.9850,0.9850,,0.9851,0.9851,0.9851,,0.9902,0.9902,0.9902,,0.9876,0.9876,0.9876,,4925.0000,4925,4925,,75.0000,75,75,,49.0000,49,49,,4951.0000,4951,4951,
lml12,384,svm,kernel-rbf,0.9849,0.9849,0.9849,,0.9884,0.9884,0.9884,,0.9814,0.9814,0.9814,,0.9815,0.9815,0.9815,,0.9884,0.9884,0.9884,,0.9849,0.9849,0.9849,,4907.0000,4907,4907,,93.0000,93,93,,58.0000,58,58,,4942.0000,4942,4942,
lml12,384,svm,kernel-sigmoid,0.9539,0.9539,0.9539,,0.9518,0.9518,0.9518,,0.9560,0.9560,0.9560,,0.9558,0.9558,0.9558,,0.9518,0.9518,0.9518,,0.9539,0.9539,0.9539,,4780.0000,4780,4780,,220.0000,220,220,,241.0000,241,241,,4759.0000,4759,4759,
lml6,384,logistic_regression,max_iter-100,0.9717,0.9717,0.9717,,0.9796,0.9796,0.9796,,0.9638,0.9638,0.9638,,0.9644,0.9644,0.9644,,0.9796,0.9796,0.9796,,0.9717,0.9717,0.9717,,4819.0000,4819,4819,,181.0000,181,181,,102.0000,102,102,,4898.0000,4898,4898,
lml6,384,logistic_regression,max_iter-50,0.9717,0.9717,0.9717,,0.9796,0.9796,0.9796,,0.9638,0.9638,0.9638,,0.9644,0.9644,0.9644,,0.9796,0.9796,0.9796,,0.9717,0.9717,0.9717,,4819.0000,4819,4819,,181.0000,181,181,,102.0000,102,102,,4898.0000,4898,4898,
lml6,384,logistic_regression,max_iter-500,0.9717,0.9717,0.9717,,0.9796,0.9796,0.9796,,0.9638,0.9638,0.9638,,0.9644,0.9644,0.9644,,0.9796,0.9796,0.9796,,0.9717,0.9717,0.9717,,4819.0000,4819,4819,,181.0000,181,181,,102.0000,102,102,,4898.0000,4898,4898,
lml6,384,mlp,num_layers-2_dropout-0.1,0.9762,0.9759,0.9764,0.0002,0.9820,0.9808,0.9838,0.0012,0.9704,0.9680,0.9718,0.0016,0.9707,0.9685,0.9721,0.0015,0.9820,0.9808,0.9838,0.0012,0.9762,0.9759,0.9764,0.0002,4852.0000,4840,4859,7.7782,148.0000,141,160,7.7782,89.8000,81,96,5.9749,4910.2000,4904,4919,5.9749
lml6,384,mlp,num_layers-2_dropout-0.2,0.9762,0.9761,0.9765,0.0002,0.9823,0.9812,0.9838,0.0010,0.9702,0.9684,0.9714,0.0012,0.9706,0.9689,0.9717,0.0011,0.9823,0.9812,0.9838,0.0010,0.9762,0.9761,0.9765,0.0002,4851.0000,4842,4857,5.8737,149.0000,143,158,5.8737,88.6000,81,94,5.0299,4911.4000,4906,4919,5.0299
lml6,384,mlp,num_layers-2_dropout-0.3,0.9758,0.9754,0.9761,0.0003,0.9818,0.9810,0.9834,0.0009,0.9697,0.9680,0.9710,0.0012,0.9701,0.9685,0.9713,0.0011,0.9818,0.9810,0.9834,0.0009,0.9757,0.9754,0.9761,0.0003,4848.6000,4840,4855,6.0249,151.4000,145,160,6.0249,91.0000,83,95,4.7434,4909.0000,4905,4917,4.7434
