embedding,embedding_size,regressor,hyperparams,seed,accuracy,tpr,tnr,precision,recall,g_mean,tn,fp,fn,tp
lml12,384,mlp,num_layers-3_dropout-0.2,319,0.9837,0.9872,0.9802,0.9803,0.9872,0.9837,4901,99,64,4936
lml12,384,mlp,num_layers-3_dropout-0.2,84,0.9829,0.9866,0.9792,0.9794,0.9866,0.9829,4896,104,67,4933
lml12,384,mlp,num_layers-3_dropout-0.3,823,0.9819,0.9836,0.9802,0.9803,0.9836,0.9819,4901,99,82,4918
lml12,384,mlp,num_layers-3_dropout-0.3,950,0.9818,0.9838,0.9798,0.9799,0.9838,0.9818,4899,101,81,4919
lml12,384,mlp,num_layers-3_dropout-0.3,686,0.9828,0.9874,0.9782,0.9784,0.9874,0.9828,4891,109,63,4937
lml12,384,mlp,num_layers-3_dropout-0.3,319,0.9834,0.9864,0.9804,0.9805,0.9864,0.9834,4902,98,68,4932
lml12,384,mlp,num_layers-3_dropout-0.3,84,0.9821,0.9854,0.9788,0.9789,0.9854,0.9821,4894,106,73,4927
lml6,384,svm,kernel-linear,823,0.9759,0.9826,0.9692,0.9696,0.9826,0.9759,4846,154,87,4913
lml6,384,svm,kernel-poly,823,0.9883,0.9926,0.9840,0.9841,0.9926,0.9883,4920,80,37,4963
lml6,384,svm,kernel-rbf,823,0.9862,0.9900,0.9824,0.9825,0.9900,0.9862,4912,88,50,4950
lml6,384,svm,kernel-sigmoid,823,0.9572,0.9592,0.9552,0.9554,0.9592,0.9572,4776,224,204,4796
lml6,384,logistic_regression,max_iter-50,823,0.9717,0.9796,0.9638,0.9644,0.9796,0.9717,4819,181,102,4898
lml6,384,logistic_regression,max_iter-100,823,0.9717,0.9796,0.9638,0.9644,0.9796,0.9717,4819,181,102,4898
lml6,384,logistic_regression,max_iter-500,823,0.9717,0.9796,0.9638,0.9644,0.9796,0.9717,4819,181,102,4898
lml6,384,random_forest,n_estimators-80,823,0.9619,0.9794,0.9444,0.9463,0.9794,0.9617,4722,278,103,4897
lml6,384,random_forest,n_estimators-80,950,0.9624,0.9804,0.9444,0.9463,0.9804,0.9622,4722,278,98,4902
lml6,384,random_forest,n_estimators-80,686,0.9624,0.9774,0.9474,0.9489,0.9774,0.9623,4737,263,113,4887
lml6,384,random_forest,n_estimators-80,319,0.9619,0.9778,0.9460,0.9477,0.9778,0.9618,4730,270,111,4889
lml6,384,random_forest,n_estimators-80,84,0.9613,0.9766,0.9460,0.9476,0.9766,0.9612,4730,270,117,4883
lml6,384,random_forest,n_estimators-100,823,0.9630,0.9812,0.9448,0.9467,0.9812,0.9628,4724,276,94,4906
lml6,384,random_forest,n_estimators-100,950,0.9626,0.9806,0.9446,0.9465,0.9806,0.9624,4723,277,97,4903
lml6,384,random_forest,n_estimators-100,686,0.9640,0.9794,0.9486,0.9501,0.9794,0.9639,4743,257,103,4897
lml6,384,random_forest,n_estimators-100,319,0.9624,0.9790,0.9458,0.9475,0.9790,0.9623,4729,271,105,4895
lml6,384,random_forest,n_estimators-100,84,0.9614,0.9788,0.9440,0.9459,0.9788,0.9612,4720,280,106,4894
lml6,384,random_forest,n_estimators-200,823,0.9638,0.9816,0.9460,0.9479,0.9816,0.9636,4730,270,92,4908
lml6,384,random_forest,n_estimators-200,950,0.9640,0.9822,0.9458,0.9477,0.9822,0.9638,4729,271,89,4911
lml6,384,random_forest,n_estimators-200,686,0.9640,0.9804,0.9476,0.9493,0.9804,0.9639,4738,262,98,4902
lml6,384,random_forest,n_estimators-200,319,0.9630,0.9798,0.9462,0.9479,0.9798,0.9629,4731,269,101,4899
lml6,384,random_forest,n_estimators-200,84,0.9623,0.9802,0.9444,0.9463,0.9802,0.9621,4722,278,99,4901
lml6,384,naive_bayes,none-n,823,0.9230,0.9890,0.8570,0.8737,0.9890,0.9206,4285,715,55,4945
lml6,384,naive_bayes,none-o,823,0.9230,0.9890,0.8570,0.8737,0.9890,0.9206,4285,715,55,4945
lml6,384,naive_bayes,none-n,823,0.9230,0.9890,0.8570,0.8737,0.9890,0.9206,4285,715,55,4945
lml6,384,naive_bayes,none-e,823,0.9230,0.9890,0.8570,0.8737,0.9890,0.9206,4285,715,55,4945
lml6,384,mlp,num_layers-2_dropout-0.1,823,0.9763,0.9808,0.9718,0.9721,0.9808,0.9763,4859,141,96,4904
lml6,384,mlp,num_layers-2_dropout-0.1,950,0.9762,0.9826,0.9698,0.9702,0.9826,0.9762,4849,151,87,4913
lml6,384,mlp,num_layers-2_dropout-0.1,686,0.9763,0.9818,0.9708,0.9711,0.9818,0.9763,4854,146,91,4909
lml6,384,mlp,num_layers-2_dropout-0.1,319,0.9759,0.9838,0.9680,0.9685,0.9838,0.9759,4840,160,81,4919
