model,k,O_TPR,O_TNR,O_ACC,O_GMEAN,M_TPR,M_TNR,M_ACC,M_GMEAN,D_ACC,D_GMEAN
mpnet,30,95.8,96.24,96.02,96.02,93.48,96.24,94.86,94.85,-1.21,-1.22
mpnet,40,95.74,96.26,96.0,96.0,93.58,96.26,94.92,94.91,-1.12,-1.14
mpnet,50,96.18,96.46,96.32,96.32,94.36,96.46,95.41,95.4,-0.94,-0.96
mpnet,60,96.1,96.56,96.33,96.33,94.06,96.56,95.31,95.3,-1.06,-1.07
mpnet,70,96.62,96.86,96.74,96.74,94.32,96.86,95.59,95.58,-1.19,-1.2
mpnet,80,96.5,96.76,96.63,96.63,93.86,96.76,95.31,95.3,-1.37,-1.38
mpnet,90,97.18,96.74,96.96,96.96,94.52,96.74,95.63,95.62,-1.37,-1.38
mpnet,100,97.22,97.02,97.12,97.12,94.1,97.02,95.56,95.55,-1.61,-1.62
mpnet,125,97.22,97.18,97.2,97.2,94.2,97.18,95.69,95.68,-1.55,-1.56
mpnet,150,97.26,96.98,97.12,97.12,94.48,96.98,95.73,95.72,-1.43,-1.44
mpnet,175,97.14,97.08,97.11,97.11,94.5,97.08,95.79,95.78,-1.36,-1.37
mpnet,200,97.42,97.3,97.36,97.36,94.66,97.3,95.98,95.97,-1.42,-1.43
mpnet,250,97.46,97.56,97.51,97.51,94.5,97.56,96.03,96.02,-1.52,-1.53
mpnet,500,97.76,97.22,97.49,97.49,95.1,97.22,96.16,96.15,-1.36,-1.37
mpnet,1000,97.62,97.7,97.66,97.66,95.52,97.7,96.61,96.6,-1.08,-1.09
mpnet,2000,97.72,97.96,97.84,97.84,95.7,97.96,96.83,96.82,-1.03,-1.04
mpnet,5000,97.84,98.18,98.01,98.01,95.4,98.18,96.79,96.78,-1.24,-1.25
nomic64,2,88.68,90.44,89.56,89.56,89.7,90.44,90.07,90.07,0.57,0.57
nomic64,3,90.84,91.34,91.09,91.09,90.78,91.34,91.06,91.06,-0.03,-0.03
nomic64,4,88.14,92.74,90.44,90.41,88.86,92.74,90.8,90.78,0.4,0.41
nomic64,5,89.96,93.42,91.69,91.67,90.06,93.42,91.74,91.72,0.05,0.05
nomic64,6,91.04,92.9,91.97,91.97,91.22,92.9,92.06,92.06,0.1,0.1
nomic64,7,93.76,92.56,93.16,93.16,93.3,92.56,92.93,92.93,-0.25,-0.25
nomic64,8,93.1,93.44,93.27,93.27,92.58,93.44,93.01,93.01,-0.28,-0.28
nomic64,9,94.08,93.34,93.71,93.71,93.9,93.34,93.62,93.62,-0.1,-0.1
nomic64,10,94.16,94.02,94.09,94.09,93.52,94.02,93.77,93.77,-0.34,-0.34
nomic64,20,94.52,95.1,94.81,94.81,93.42,95.1,94.26,94.26,-0.58,-0.58
nomic64,30,94.4,96.08,95.24,95.24,93.76,96.08,94.92,94.91,-0.34,-0.35
nomic64,40,94.8,96.2,95.5,95.5,94.24,96.2,95.22,95.21,-0.29,-0.3
nomic64,50,94.64,96.24,95.44,95.44,93.9,96.24,95.07,95.06,-0.39,-0.4
nomic64,60,95.64,96.64,96.14,96.14,94.14,96.64,95.39,95.38,-0.78,-0.79
nomic64,70,95.92,96.84,96.38,96.38,94.48,96.84,95.66,95.65,-0.75,-0.76
nomic64,80,95.96,96.56,96.26,96.26,94.96,96.56,95.76,95.76,-0.52,-0.52
nomic64,90,96.1,96.92,96.51,96.51,95.02,96.92,95.97,95.97,-0.56,-0.56
nomic64,100,95.7,97.06,96.38,96.38,94.66,97.06,95.86,95.85,-0.54,-0.55
nomic64,125,96.02,97.52,96.77,96.77,94.72,97.52,96.12,96.11,-0.67,-0.68
nomic64,150,96.4,96.88,96.64,96.64,95.14,96.88,96.01,96.01,-0.65,-0.65
nomic64,175,96.56,97.44,97.0,97.0,95.2,97.44,96.32,96.31,-0.7,-0.71
nomic64,200,96.66,97.28,96.97,96.97,95.04,97.28,96.16,96.15,-0.84,-0.85
nomic64,250,96.58,97.08,96.83,96.83,95.22,97.08,96.15,96.15,-0.7,-0.7
nomic64,500,97.42,97.36,97.39,97.39,95.86,97.36,96.61,96.61,-0.8,-0.8
nomic64,1000,97.74,97.44,97.59,97.59,95.42,97.44,96.43,96.42,-1.19,-1.2
nomic64,2000,97.68,97.44,97.56,97.56,95.68,97.44,96.56,96.56,-1.03,-1.03
nomic64,5000,97.22,97.64,97.43,97.43,95.58,97.64,96.61,96.6,-0.84,-0.85
nomic128,2,94.06,89.98,92.02,92.0,92.06,89.98,91.02,91.01,-1.09,-1.08
nomic128,3,93.06,90.64,91.85,91.84,91.42,90.64,91.03,91.03,-0.89,-0.88
nomic128,4,92.0,93.52,92.76,92.76,91.24,93.52,92.38,92.37,-0.41,-0.42
nomic128,5,91.02,94.28,92.65,92.64,90.7,94.28,92.49,92.47,-0.17,-0.18
